"id","location","number","id_city"
480,ALGUMA RUA,"1460",3848
481,ALGUMA RUA,,2906
485,ALGUMA RUA,s/n,5276
486,ALGUMA RUA,s/n,237
488,ALGUMA RUA,"1979",4815
489,ALGUMA RUA,,5340
490,ALGUMA RUA,s/n,237
494,ALGUMA RUA,"1460",3848
495,ALGUMA RUA,,2975
497,ALGUMA RUA,s/n,5462
498,ALGUMA RUA,s/n,2310
501,ALGUMA RUA,s/n,5335
502,ALGUMA RUA,s/n,237
3758,ALGUMA RUA,,4475
504,ALGUMA RUA,s/n,5276
505,ALGUMA RUA,s/n,237
509,ALGUMA RUA,,5337
510,ALGUMA RUA,,237
514,ALGUMA RUA,SN,4009
515,ALGUMA RUA,s/n,5317
516,ALGUMA RUA,,237
3759,ALGUMA RUA,,4483
518,ALGUMA RUA,"1460",3848
519,ALGUMA RUA,,2788
521,ALGUMA RUA,s/n,5317
522,ALGUMA RUA,,237
524,ALGUMA RUA,s/n,5462
525,ALGUMA RUA,s/n,2310
526,ALGUMA RUA,s/n,2597
527,ALGUMA RUA,s/n,3848
528,ALGUMA RUA,s/n,2597
529,ALGUMA RUA,s/n,3848
531,ALGUMA RUA,s/n,5213
532,ALGUMA RUA,,237
533,ALGUMA RUA,,5213
534,ALGUMA RUA,,237
536,ALGUMA RUA,s/n,5292
537,ALGUMA RUA,s/n,237
538,ALGUMA RUA,s/n,5276
539,ALGUMA RUA,s/n,237
540,ALGUMA RUA,s/n,5343
541,ALGUMA RUA,,237
542,ALGUMA RUA,,3583
543,ALGUMA RUA,"1460",3848
546,ALGUMA RUA,s/n,5317
547,ALGUMA RUA,s/n,237
548,ALGUMA RUA,s/n,5343
549,ALGUMA RUA,s/n,237
550,ALGUMA RUA,"1460",3848
455,ALGUMA RUA,SN,5410
483,ALGUMA RUA,"22031",3095
484,ALGUMA RUA,"4652",4149
464,ALGUMA RUA,SALA12,4193
530,ALGUMA RUA,S/N,3445
493,ALGUMA RUA,S/N,4939
470,ALGUMA RUA,S/N,4978
465,ALGUMA RUA,"2126",5324
466,ALGUMA RUA,S/N,5549
468,ALGUMA RUA,S/N,5083
469,ALGUMA RUA,S/N,3783
491,ALGUMA RUA,S/N,5549
492,ALGUMA RUA,"157",4878
482,ALGUMA RUA,"104",4782
456,ALGUMA RUA,"1510",3858
457,ALGUMA RUA,"500",4131
458,ALGUMA RUA,"134",4939
459,ALGUMA RUA,"266",5549
487,ALGUMA RUA,"2600",2310
460,ALGUMA RUA,"1042",5151
467,ALGUMA RUA,S/N,5336
471,ALGUMA RUA,s/n,5154
472,ALGUMA RUA,S/N,5549
475,ALGUMA RUA,S/N,5336
496,ALGUMA RUA,S/N,5248
499,ALGUMA RUA,"1395",4801
500,ALGUMA RUA,"20",2477
506,ALGUMA RUA,"15450",4131
507,ALGUMA RUA,SN,4009
508,ALGUMA RUA,"8245",5336
511,ALGUMA RUA,S/N,4834
512,ALGUMA RUA,SN,5264
513,ALGUMA RUA,S/N,5549
520,ALGUMA RUA,SN,5549
523,ALGUMA RUA,"1319",5098
535,ALGUMA RUA,"5393",4009
544,ALGUMA RUA,"66",2416
545,ALGUMA RUA,"391",5549
3793,ALGUMA RUA,,48
551,ALGUMA RUA,,2647
3760,ALGUMA RUA,,4475
553,ALGUMA RUA,s/n,2822
554,ALGUMA RUA,s/n,3848
555,ALGUMA RUA,s/n,3095
556,ALGUMA RUA,s/n,3848
557,ALGUMA RUA,s/n,3095
558,ALGUMA RUA,s/n,3848
559,ALGUMA RUA,,3494
560,ALGUMA RUA,"1460",3848
584,ALGUMA RUA,SN,4472
564,ALGUMA RUA,,5261
565,ALGUMA RUA,,237
566,ALGUMA RUA,,5335
567,ALGUMA RUA,,237
568,ALGUMA RUA,,5317
569,ALGUMA RUA,,237
570,ALGUMA RUA,s/n,5336
571,ALGUMA RUA,s/n,237
572,ALGUMA RUA,,5276
573,ALGUMA RUA,,237
574,ALGUMA RUA,s/n,5336
575,ALGUMA RUA,,237
581,ALGUMA RUA,"6845",5367
577,ALGUMA RUA,s/n,2866
578,ALGUMA RUA,s/n,3848
579,ALGUMA RUA,"1460",3848
580,ALGUMA RUA,,2647
582,ALGUMA RUA,,5276
583,ALGUMA RUA,s/n,237
591,ALGUMA RUA,"290",4793
585,ALGUMA RUA,"1460",3848
586,ALGUMA RUA,,3306
587,ALGUMA RUA,"1460",3848
588,ALGUMA RUA,,3306
589,ALGUMA RUA,"1460",3848
590,ALGUMA RUA,,3306
593,ALGUMA RUA,s/n,5240
594,ALGUMA RUA,s/n,5324
598,ALGUMA RUA,s/n,5240
599,ALGUMA RUA,s/n,5324
600,ALGUMA RUA,s/n,5240
601,ALGUMA RUA,s/n,5324
604,ALGUMA RUA,"1460",3848
605,ALGUMA RUA,,3317
608,ALGUMA RUA,s/n,5350
609,ALGUMA RUA,s/n,5324
611,ALGUMA RUA,s/n,5350
612,ALGUMA RUA,s/n,5324
620,ALGUMA RUA,,2285
622,ALGUMA RUA,"1460",3848
623,ALGUMA RUA,,2906
624,ALGUMA RUA,,2191
625,ALGUMA RUA,"1460",3848
626,ALGUMA RUA,,2647
628,ALGUMA RUA,s/n,5337
629,ALGUMA RUA,s/n,237
630,ALGUMA RUA,s/n,2473
631,ALGUMA RUA,s/n,3848
632,ALGUMA RUA,s/n,5415
633,ALGUMA RUA,s/n,4193
634,ALGUMA RUA,s/n,2597
635,ALGUMA RUA,s/n,3848
636,ALGUMA RUA,s/n,5415
637,ALGUMA RUA,s/n,4193
638,ALGUMA RUA,s/n,2822
639,ALGUMA RUA,s/n,3848
640,ALGUMA RUA,,2373
641,ALGUMA RUA,,3848
645,ALGUMA RUA,"255",4249
646,ALGUMA RUA,"870",3400
647,ALGUMA RUA,"2618",5090
649,ALGUMA RUA,,5276
650,ALGUMA RUA,,237
652,ALGUMA RUA,s/n,3848
653,ALGUMA RUA,s/n,5433
244,ALGUMA RUA,"1300",4696
253,ALGUMA RUA,"1934",5248
270,ALGUMA RUA,"00168",4396
283,ALGUMA RUA,"1400",3326
503,ALGUMA RUA,SN,5277
603,ALGUMA RUA,S/N,4357
561,ALGUMA RUA,"300",4696
562,ALGUMA RUA,SN,4009
563,ALGUMA RUA,"15",3962
576,ALGUMA RUA,"1979",4815
592,ALGUMA RUA,"727",4193
595,ALGUMA RUA,"538",5209
596,ALGUMA RUA,SN,1934
597,ALGUMA RUA,"8245",5336
606,ALGUMA RUA,S/N,5446
607,ALGUMA RUA,"13",2655
613,ALGUMA RUA,"608",3258
615,ALGUMA RUA,S/N,3783
616,ALGUMA RUA,"1800",3729
617,ALGUMA RUA,S/N,3508
618,ALGUMA RUA,"816",3158
619,ALGUMA RUA,S/N,5324
621,ALGUMA RUA,"1210",3211
627,ALGUMA RUA,"211",3508
642,ALGUMA RUA,"10215",2692
643,ALGUMA RUA,S/N,3199
648,ALGUMA RUA,"646",3095
602,ALGUMA RUA,SN,5370
644,ALGUMA RUA,"568",3858
654,ALGUMA RUA,s/n,4193
655,ALGUMA RUA,s/n,3095
656,ALGUMA RUA,s/n,3848
657,ALGUMA RUA,s/n,5482
658,ALGUMA RUA,s/n,4193
661,ALGUMA RUA,s/n,2866
662,ALGUMA RUA,s/n,3848
664,ALGUMA RUA,"177",4075
3761,ALGUMA RUA,,4398
3785,ALGUMA RUA,S/N,5370
678,ALGUMA RUA,"10",3010
3794,ALGUMA RUA,,626
697,ALGUMA RUA,"1460",3848
698,ALGUMA RUA,,3306
699,ALGUMA RUA,"1460",3848
700,ALGUMA RUA,,5537
692,ALGUMA RUA,"1",3211
713,ALGUMA RUA,s/n,5311
714,ALGUMA RUA,,197
716,ALGUMA RUA,"1460",3848
717,ALGUMA RUA,"257",2743
721,ALGUMA RUA,"1460",3848
722,ALGUMA RUA,"400",2788
724,ALGUMA RUA,"995",2344
727,ALGUMA RUA,s/n,4215
728,ALGUMA RUA,s/n,4193
731,ALGUMA RUA,s/n,4215
732,ALGUMA RUA,s/n,4193
736,ALGUMA RUA,s/n,5439
737,ALGUMA RUA,s/n,3848
738,ALGUMA RUA,s/n,5519
739,ALGUMA RUA,s/n,4193
740,ALGUMA RUA,s/n,2822
741,ALGUMA RUA,s/n,3848
742,ALGUMA RUA,,5336
743,ALGUMA RUA,,237
744,ALGUMA RUA,,5306
745,ALGUMA RUA,s/n,237
746,ALGUMA RUA,s/n,5336
747,ALGUMA RUA,,237
748,ALGUMA RUA,s/n,5333
749,ALGUMA RUA,s/n,4451
750,ALGUMA RUA,s/n,5333
669,ALGUMA RUA,SEM NUMERO,3085
670,ALGUMA RUA,"218",3925
671,ALGUMA RUA,"1365",2477
672,ALGUMA RUA,"280",5310
673,ALGUMA RUA,"300",3513
674,ALGUMA RUA,S/N,1967
675,ALGUMA RUA,"55",2090
676,ALGUMA RUA,S/N,2090
679,ALGUMA RUA,S/N,5409
680,ALGUMA RUA,"275",5410
682,ALGUMA RUA,S/N,5410
683,ALGUMA RUA,S/N,5415
686,ALGUMA RUA,S/N,5462
687,ALGUMA RUA,"266",5549
688,ALGUMA RUA,S/N,5574
690,ALGUMA RUA,s/n,2794
702,ALGUMA RUA,S/N,1725
704,ALGUMA RUA,"1796",2232
705,ALGUMA RUA,"00000",975
706,ALGUMA RUA,s/n,5598
707,ALGUMA RUA,"451",3203
708,ALGUMA RUA,"408",3142
709,ALGUMA RUA,S/N,5574
710,ALGUMA RUA,S/N,5410
711,ALGUMA RUA,S/N,5549
660,ALGUMA RUA,"40",4782
668,ALGUMA RUA,"800",4137
659,ALGUMA RUA,S/N,3199
663,ALGUMA RUA,SEM NUMERO,3062
665,ALGUMA RUA,"555",2344
677,ALGUMA RUA,"1353",3062
681,ALGUMA RUA,S/N,3211
684,ALGUMA RUA,S/N,3434
691,ALGUMA RUA,"8.245",5336
693,ALGUMA RUA,"220",3504
694,ALGUMA RUA,s/n,5209
695,ALGUMA RUA,"289",2338
696,ALGUMA RUA,S N,568
701,ALGUMA RUA,"1017",3858
715,ALGUMA RUA,"1900",2344
718,ALGUMA RUA,SEM NUMERO,2792
720,ALGUMA RUA,"120",3729
719,ALGUMA RUA,"894",3351
730,ALGUMA RUA,"096",3211
723,ALGUMA RUA,"4386",2338
725,ALGUMA RUA,"950",3706
726,ALGUMA RUA,S/N,3199
733,ALGUMA RUA,"29",664
734,ALGUMA RUA,"5989",4149
735,ALGUMA RUA,"1325",5324
751,ALGUMA RUA,s/n,4451
3762,ALGUMA RUA,"235",3364
754,ALGUMA RUA,s/n,5528
755,ALGUMA RUA,s/n,2310
756,ALGUMA RUA,s/n,5595
757,ALGUMA RUA,s/n,2310
758,ALGUMA RUA,s/n,5417
759,ALGUMA RUA,s/n,2310
760,ALGUMA RUA,s/n,5540
761,ALGUMA RUA,s/n,2310
762,ALGUMA RUA,s/n,5356
763,ALGUMA RUA,s/n,2310
764,ALGUMA RUA,s/n,5555
765,ALGUMA RUA,s/n,4193
